"code" "movie_title" "point"
"1" "17421" "쇼생크 탈출" "9.41"
"2" "10200" "터미네이터 2" "9.39"
"3" "24452" "매트릭스" "9.38"
"4" "22126" "인생은 아름다워" "9.38"
"5" "17170" "레옹" "9.38"
"6" "10002" "빽 투 더 퓨쳐" "9.37"
"7" "10048" "죽은 시인의 사회" "9.37"
"8" "69105" "월-E" "9.37"
"9" "16466" "프리 윌리" "9.37"
"10" "18988" "라이언 일병 구하기" "9.37"
"11" "10016" "나 홀로 집에" "9.37"
"12" "169561" "뷰티풀 투모로우" "9.37"
"13" "17159" "포레스트 검프" "9.37"
"14" "66463" "토이 스토리 3" "9.37"
"15" "35901" "살인의 추억" "9.37"
"16" "154573" "다시 태어나도 우리" "9.36"
"17" "32686" "센과 치히로의 행방불명" "9.36"
"18" "31796" "반지의 제왕: 왕의 귀환" "9.36"
"19" "10102" "사운드 오브 뮤직" "9.36"
"20" "16210" "미세스 다웃파이어" "9.36"
"21" "82432" "헬프" "9.36"
"22" "134899" "동주" "9.35"
"23" "17541" "굿바이 마이 프랜드" "9.35"
"24" "29217" "글래디에이터" "9.35"
"25" "14448" "패왕별희" "9.35"
"26" "76667" "울지마 톤즈" "9.35"
"27" "31795" "반지의 제왕: 두 개의 탑" "9.35"
"28" "35939" "클래식" "9.35"
"29" "130850" "주토피아" "9.35"
"30" "10038" "에이리언 2" "9.35"
"31" "12482" "여인의 향기" "9.34"
"32" "73372" "세 얼간이" "9.34"
"33" "73476" "그대를 사랑합니다" "9.34"
"34" "31162" "캐스트 어웨이" "9.34"
"35" "10114" "아마데우스" "9.34"
"36" "87566" "언터처블: 1%의 우정" "9.33"
"37" "18543" "서유기 2 - 선리기연" "9.33"
"38" "161850" "아이 캔 스피크" "9.33"
"39" "14450" "쉰들러 리스트" "9.33"
"40" "147092" "히든 피겨스" "9.33"
"41" "70457" "드래곤 길들이기" "9.33"
"42" "13008" "알라딘" "9.33"
"43" "125724" "빌리 엘리어트 뮤지컬 라이브" "9.33"
"44" "146534" "자백" "9.33"
"45" "19079" "굿 윌 헌팅" "9.33"
"46" "39636" "지금, 만나러 갑니다" "9.32"
"47" "89752" "오페라의 유령 : 25주년 특별 공연" "9.32"
"48" "62586" "다크 나이트" "9.32"
"49" "19303" "모노노케 히메" "9.32"
"50" "34324" "집으로..." "9.32"
"51" "75470" "라푼젤" "9.32"
"52" "17153" "토이 스토리" "9.32"
"53" "25915" "아이언 자이언트" "9.32"
"54" "29657" "프리퀀시" "9.32"
"55" "10105" "사랑은 비를 타고" "9.32"
"56" "103535" "소원" "9.31"
"57" "47528" "해리 포터와 죽음의 성물 - 2부" "9.31"
"58" "34227" "아이 엠 샘" "9.31"
"59" "28788" "바이센테니얼 맨" "9.31"
"60" "10021" "록키" "9.31"
"61" "10341" "위대한 독재자" "9.31"
"62" "39584" "코러스" "9.31"
"63" "37886" "클레멘타인" "9.31"
"64" "10249" "모던 타임즈" "9.31"
"65" "162824" "저수지 게임" "9.31"
"66" "19099" "트루먼 쇼" "9.30"
"67" "35187" "피아니스트" "9.30"
"68" "34181" "오세암" "9.30"
"69" "17135" "더 록" "9.30"
"70" "79762" "세상에서 가장 아름다운 이별" "9.30"
"71" "18782" "천공의 성 라퓨타" "9.30"
"72" "13500" "쥬라기 공원 3D" "9.30"
"73" "29571" "천국의 아이들" "9.30"
"74" "51172" "지상의 별처럼" "9.30"
"75" "52120" "업" "9.30"
"76" "25266" "타잔" "9.30"
"77" "35100" "스피릿" "9.30"
"78" "17869" "일급 살인" "9.30"
"79" "71081" "블라인드 사이드" "9.29"
"80" "70651" "내 이름은 칸" "9.29"
"81" "16216" "취권 2" "9.29"
"82" "12270" "나 홀로 집에 2 - 뉴욕을 헤매다" "9.29"
"83" "87307" "주먹왕 랄프" "9.29"
"84" "31794" "반지의 제왕: 반지 원정대" "9.29"
"85" "10001" "시네마 천국" "9.29"
"86" "142304" "뚜르: 내 생애 최고의 49일" "9.29"
"87" "65021" "라따뚜이" "9.29"
"88" "12297" "우리들의 일그러진 영웅" "9.29"
"89" "10185" "로미오와 줄리엣" "9.28"
"90" "51708" "영웅: 샐러멘더의 비밀" "9.28"
"91" "17441" "아기공룡 둘리 - 얼음별 대모험" "9.28"
"92" "13172" "미녀와 야수" "9.28"
"93" "10669" "인어 공주" "9.28"
"94" "16531" "인생" "9.28"
"95" "151106" "슈퍼소닉" "9.28"
"96" "53951" "더 코브: 슬픈 돌고래의 진실" "9.28"
"97" "144379" "러빙 빈센트" "9.28"
"98" "31013" "빌리 엘리어트" "9.28"
"99" "51083" "맨발의 꿈" "9.27"
"100" "70773" "바람" "9.27"
"101" "11104" "동방불패" "9.27"
"102" "31726" "엽기적인 그녀" "9.27"
"103" "68555" "말할 수 없는 비밀" "9.27"
"104" "31268" "에이 아이" "9.27"
"105" "16521" "라이온 킹" "9.27"
"106" "10746" "폴리스 스토리" "9.27"
"107" "10670" "천녀유혼" "9.27"
"108" "13967" "석양에 돌아오다" "9.26"
"109" "11002" "혹성탈출" "9.26"
"110" "18847" "타이타닉" "9.26"
"111" "32112" "몬스터 주식회사 3D" "9.26"
"112" "71932" "친정엄마" "9.26"
"113" "17440" "쥬만지" "9.26"
"114" "79749" "고 녀석 맛나겠다" "9.26"
"115" "70251" "마이클 잭슨의 디스 이즈 잇" "9.26"
"116" "75413" "도가니" "9.26"
"117" "100654" "또 하나의 약속" "9.26"
"118" "15899" "공동경비구역 JSA" "9.26"
"119" "84148" "트루맛쇼" "9.26"
"120" "36718" "투게더" "9.26"
"121" "27578" "토이 스토리 2" "9.26"
"122" "10028" "터미네이터" "9.25"
"123" "115298" "잉여들의 히치하이킹" "9.25"
"124" "36798" "인크레더블" "9.25"
"125" "32116" "니모를 찾아서 3D" "9.25"
"126" "18052" "바람계곡의 나우시카" "9.25"
"127" "10647" "특전 유보트" "9.25"
"128" "59075" "본 얼티메이텀" "9.25"
"129" "10012" "다이 하드" "9.25"
"130" "10244" "늑대와 춤을" "9.25"
"131" "58323" "에이트 빌로우" "9.25"
"132" "10101" "로마의 휴일" "9.25"
"133" "38613" "명탐정 코난: 베이커가의 망령" "9.25"
"134" "31159" "패밀리 맨" "9.25"
"135" "10936" "가위손" "9.25"
"136" "17162" "브레이브하트" "9.25"
"137" "45774" "하이 스쿨 뮤지컬: 졸업반" "9.25"
"138" "10448" "오즈의 마법사" "9.25"
"139" "19527" "이집트 왕자" "9.25"
"140" "18531" "아나스타샤" "9.25"
"141" "41375" "신데렐라 맨" "9.24"
"142" "31788" "마이너리티 리포트" "9.24"
"143" "29953" "집으로 가는 길" "9.24"
"144" "48602" "엽문" "9.24"
"145" "68502" "갓파 쿠와 여름방학을" "9.24"
"146" "75216" "명탐정 코난: 천공의 난파선" "9.23"
"147" "16218" "쿨 러닝" "9.23"
"148" "17903" "아름다운 비행" "9.23"
"149" "140711" "보루토 - 나루토 더 무비" "9.23"
"150" "10020" "바람과 함께 사라지다" "9.23"
"151" "79435" "크루즈 패밀리" "9.23"
"152" "10217" "로보캅" "9.23"
"153" "50672" "킹콩을 들다" "9.23"
"154" "152160" "킹 오브 프리즘" "9.23"
"155" "29059" "피아니스트의 전설" "9.23"
"156" "44529" "해바라기" "9.23"
"157" "30897" "리멤버 타이탄" "9.23"
"158" "19128" "뮬란" "9.23"
"159" "130013" "님아, 그 강을 건너지 마오" "9.23"
"160" "161242" "범죄도시" "9.23"
"161" "18781" "이웃집 토토로" "9.23"
"162" "10003" "빽 투 더 퓨쳐 2" "9.23"
"163" "83893" "광해, 왕이 된 남자" "9.23"
"164" "16217" "칼리토" "9.22"
"165" "34093" "오아시스" "9.22"
"166" "162932" "채비" "9.22"
"167" "34010" "뷰티풀 마인드" "9.22"
"168" "10058" "벤허" "9.22"
"169" "10314" "마지막 황제" "9.22"
"170" "22082" "밴디트" "9.22"
"171" "18817" "8월의 크리스마스" "9.22"
"172" "63513" "시간을 달리는 소녀" "9.22"
"173" "24542" "미이라" "9.22"
"174" "38227" "첫 키스만 50번째" "9.22"
"175" "150376" "나, 다니엘 블레이크" "9.22"
"176" "10072" "대부 2" "9.22"
"177" "68031" "똥파리" "9.21"
"178" "71509" "아저씨" "9.21"
"179" "18542" "서유기 - 월광보합" "9.21"
"180" "142632" "미스 슬로운" "9.21"
"181" "63403" "타인의 삶" "9.21"
"182" "10047" "스팅" "9.21"
"183" "19074" "가타카" "9.21"
"184" "18610" "콘택트" "9.21"
"185" "52515" "인셉션" "9.21"
"186" "37486" "스쿨 오브 락" "9.21"
"187" "158578" "흑집사 : 북 오브 더 아틀란틱" "9.21"
"188" "38091" "나비 효과" "9.21"
"189" "146504" "우리들" "9.21"
"190" "160135" "서서평, 천천히 평온하게" "9.21"
"191" "17111" "보디가드" "9.20"
"192" "10688" "뻐꾸기 둥지 위로 날아간 새" "9.20"
"193" "39436" "말아톤" "9.20"
"194" "30688" "해리 포터와 마법사의 돌" "9.20"
"195" "18552" "페이스 오프" "9.20"
"196" "30306" "시월애" "9.20"
"197" "47152" "테이큰" "9.20"
"198" "10600" "빅" "9.20"
"199" "75378" "파수꾼" "9.19"
"200" "51462" "그랜 토리노" "9.19"
"201" "12393" "시스터 액트" "9.19"
"202" "51143" "과속스캔들" "9.19"
"203" "142305" "핵소 고지" "9.19"
"204" "10561" "대부 3" "9.19"
"205" "10019" "내일을 향해 쏴라" "9.19"
"206" "11003" "천장지구" "9.19"
"207" "143469" "어메이징 메리" "9.19"
"208" "58088" "라디오 스타" "9.19"
"209" "10740" "JFK" "9.19"
"210" "76309" "플립" "9.19"
"211" "94594" "할머니는 일학년" "9.19"
"212" "17486" "크림슨 타이드" "9.19"
"213" "156185" "극장판 쿠로코의 농구 라스트 게임" "9.18"
"214" "28677" "그린 마일" "9.18"
"215" "19335" "해피 투게더" "9.18"
"216" "10071" "대부" "9.18"
"217" "24194" "아메리칸 히스토리 X" "9.18"
"218" "31827" "헤드윅" "9.18"
"219" "148338" "동급생" "9.18"
"220" "10980" "분노의 역류" "9.18"
"221" "13042" "도망자" "9.18"
"222" "10110" "영웅본색" "9.18"
"223" "10018" "이티" "9.18"
"224" "66801" "식코" "9.18"
"225" "164290" "킹 오브 프리즘 프라이드 더 히어로" "9.18"
"226" "10046" "빠삐용" "9.17"
"227" "154437" "내 사랑" "9.17"
"228" "88793" "말하는 건축가" "9.17"
"229" "75508" "인사이드 잡" "9.17"
"230" "32610" "공공의 적" "9.17"
"231" "10440" "취권" "9.17"
"232" "12324" "어 퓨 굿 맨" "9.17"
"233" "165461" "공범자들" "9.17"
"234" "63156" "체인질링" "9.17"
"235" "31148" "맨 오브 오너" "9.17"
"236" "10022" "록키 2" "9.17"
"237" "17131" "마스크" "9.17"
"238" "34522" "캐치 미 이프 유 캔" "9.17"
"239" "17796" "일 포스티노" "9.17"
"240" "19469" "네고시에이터" "9.16"
"241" "34497" "하치 이야기" "9.16"
"242" "135843" "귀향" "9.16"
"243" "18934" "마틸다" "9.16"
"244" "64128" "비상" "9.16"
"245" "39857" "코치 카터" "9.16"
"246" "66724" "짱구는 못말려 극장판: 태풍을 부르는 노래하는 엉덩이 폭탄!" "9.16"
"247" "10609" "7인의 사무라이" "9.16"
"248" "31110" "아름다운 세상을 위하여" "9.16"
"249" "154379" "내 어깨 위 고양이, 밥" "9.15"
"250" "16998" "후크" "9.15"
"251" "36666" "태극기 휘날리며" "9.15"
"252" "10173" "사랑과 영혼" "9.15"
"253" "13957" "사랑의 블랙홀" "9.15"
"254" "10039" "플래툰" "9.15"
"255" "10050" "싸이코" "9.15"
"256" "87308" "가디언즈" "9.15"
"257" "10061" "프레데터" "9.14"
"258" "37880" "피터팬" "9.14"
"259" "130849" "모아나" "9.14"
"260" "92075" "어바웃 타임" "9.14"
"261" "17942" "제리 맥과이어" "9.14"
"262" "143495" "설리: 허드슨강의 기적" "9.14"
"263" "65463" "즐거운 인생" "9.14"
"264" "31422" "와이키키 브라더스" "9.13"
"265" "10006" "스타워즈 에피소드 5 - 제국의 역습" "9.13"
"266" "19068" "투캅스 3" "9.13"
"267" "37888" "아는 여자" "9.13"
"268" "71987" "스텝 업 3D" "9.13"
"269" "47385" "국가대표" "9.13"
"270" "58437" "클릭" "9.13"
"271" "16091" "아버지의 이름으로" "9.13"
"272" "24008" "귀를 기울이면" "9.13"
"273" "17254" "뱀파이어와의 인터뷰" "9.13"
"274" "24094" "패치 아담스" "9.13"
"275" "153621" "댄서" "9.13"
"276" "62265" "블러드 다이아몬드" "9.13"
"277" "88473" "철가방 우수氏" "9.13"
"278" "100931" "겨울왕국" "9.12"
"279" "129802" "피아니스트 세이모어의 뉴욕 소네트" "9.12"
"280" "13234" "파 앤드 어웨이" "9.12"
"281" "62329" "그래도 내가 하지 않았어" "9.12"
"282" "56083" "호로비츠를 위하여" "9.12"
"283" "11295" "파워 오브 원" "9.12"
"284" "57723" "타짜" "9.11"
"285" "137358" "트윈스터즈" "9.11"
"286" "82219" "오직 그대만" "9.11"
"287" "53158" "웨딩 드레스" "9.11"
"288" "67696" "코렐라인: 비밀의 문" "9.11"
"289" "18871" "노킹 온 헤븐스 도어" "9.11"
"290" "76016" "써니" "9.11"
"291" "149511" "빅뱅 메이드" "9.11"
"292" "11502" "용서받지 못한 자" "9.11"
"293" "139613" "오베라는 남자" "9.11"
"294" "134841" "라이언" "9.11"
"295" "17327" "히트" "9.11"
"296" "109905" "분노의 질주: 더 세븐" "9.11"
"297" "93005" "늑대아이" "9.11"
"298" "129764" "제자, 옥한흠" "9.11"
"299" "36565" "무간도" "9.11"
"300" "58333" "혐오스런 마츠코의 일생" "9.11"
"301" "54973" "에반게리온: 파" "9.10"
"302" "10004" "빽 투 더 퓨쳐 3" "9.10"
"303" "10037" "에이리언" "9.10"
"304" "109911" "빅 히어로" "9.10"
"305" "10181" "정무문" "9.10"
"306" "39640" "하울의 움직이는 성" "9.10"
"307" "47986" "스트레인저 - 무황인담" "9.10"
"308" "38444" "이터널 선샤인" "9.10"
"309" "14012" "배트맨 2" "9.10"
"310" "16172" "시스터 액트 2" "9.10"
"311" "19521" "에너미 오브 스테이트" "9.10"
"312" "10282" "스탠 바이 미" "9.09"
"313" "17997" "첨밀밀" "9.09"
"314" "19031" "러브레터" "9.09"
"315" "37759" "아홉살 인생" "9.09"
"316" "31882" "물랑 루즈" "9.09"
"317" "17970" "샤인" "9.09"
"318" "83883" "고양이 춤" "9.09"
"319" "27219" "박하사탕" "9.09"
"320" "37148" "캐리비안의 해적 - 블랙 펄의 저주" "9.09"
"321" "39813" "호텔 르완다" "9.08"
"322" "45290" "인터스텔라" "9.08"
"323" "68695" "추격자" "9.08"
"324" "16503" "스피드" "9.08"
"325" "14152" "클리프행어" "9.08"
"326" "16487" "길버트 그레이프" "9.08"
"327" "85094" "명탐정 코난: 침묵의 15분" "9.08"
"328" "93749" "코알라" "9.08"
"329" "120788" "짱구는 못말려 극장판: 정면승부! 로봇아빠의 역습" "9.08"
"330" "39440" "이프 온리" "9.08"
"331" "45264" "누들" "9.08"
"332" "113132" "스틸 라이프" "9.08"
"333" "17685" "러브 어페어" "9.08"
"334" "69102" "버킷리스트: 죽기 전에 꼭 하고 싶은 것들" "9.08"
"335" "30301" "스타워즈 에피소드 3 - 시스의 복수" "9.08"
"336" "31801" "봄날은 간다" "9.07"
"337" "36992" "아이덴티티" "9.07"
"338" "18488" "브레이크다운" "9.07"
"339" "39654" "너는 내 운명" "9.07"
"340" "32911" "카우보이 비밥 - 천국의 문" "9.07"
"341" "36858" "브루스 올마이티" "9.06"
"342" "146469" "택시운전사" "9.06"
"343" "60753" "세븐 데이즈" "9.06"
"344" "62266" "아바타" "9.06"
"345" "17521" "파리넬리" "9.06"
"346" "18173" "콘 에어" "9.06"
"347" "14802" "글루미 선데이" "9.06"
"348" "16208" "퍼펙트 월드" "9.06"
"349" "115622" "인사이드 아웃" "9.06"
"350" "53034" "하모니" "9.06"
"351" "76460" "리얼 스틸" "9.06"
"352" "83213" "월플라워" "9.06"
"353" "70910" "내 깡패 같은 애인" "9.05"
"354" "44111" "용서받지 못한 자" "9.05"
"355" "31475" "파이란" "9.05"
